Species,Long,Lat,Source
Acinonyx jubatus,35.187446,-2.730941,gbif
Acinonyx jubatus,35.047021,-2.68643,gbif
Acinonyx jubatus,34.922528,-2.545468,gbif
Acinonyx jubatus,1.673726,11.315105,gbif
Acinonyx jubatus,31.67082,-24.199811,gbif
Acinonyx jubatus,18.260465,-26.448942,gbif
Acinonyx jubatus,16.177439,-25.860068,gbif
Acinonyx jubatus,20.068804,-25.9978,gbif
Acinonyx jubatus,20.024724,-25.898895,gbif
Acinonyx jubatus,26.347582,-18.610759,gbif
Acinonyx jubatus,26.248187,-18.683984,gbif
Acinonyx jubatus,16.995019,-18.979594,gbif
Acinonyx jubatus,26.225937,-18.819419,gbif
Acinonyx jubatus,16.188916,-19.057115,gbif
Acinonyx jubatus,1.420686,11.339724,gbif
Acinonyx jubatus,34.786492,-2.564017,gbif
Acinonyx jubatus,23.777178,-19.092018,gbif
Acinonyx jubatus,21.851348,-34.181302,gbif
Acinonyx jubatus,35.454627,-1.248346,gbif
Acinonyx jubatus,35.108119,-1.98413,gbif
Acinonyx jubatus,35.828182,-3.932827,gbif
Acinonyx jubatus,31.701313,-24.414367,gbif
Acinonyx jubatus,31.347692,-23.517721,gbif
Acinonyx jubatus,31.715011,-24.520369,gbif
Acinonyx jubatus,31.54363,-24.809876,gbif
Acinonyx jubatus,36.988277,0.118714,gbif
Acinonyx jubatus,26.269357,-18.877376,gbif
Acinonyx jubatus,26.318647,-18.856447,gbif
Acinonyx jubatus,29.180985,-22.274035,gbif
Acinonyx jubatus,27.109938,-25.207241,gbif
Acinonyx jubatus,34.86804,-2.668707,gbif
Acinonyx jubatus,35.326994,-1.709451,gbif
Acinonyx jubatus,35.180463,-1.431305,gbif
Acinonyx jubatus,35.292257,1.799203,gbif
Acinonyx jubatus,35.279974,-1.753121,gbif
Acinonyx jubatus,35.173088,-1.406293,gbif
Acinonyx jubatus,34.898298,-2.382652,gbif
Acinonyx jubatus,34.867793,-2.273076,gbif
Acinonyx jubatus,34.903454,-2.345014,gbif
Acinonyx jubatus,34.874577,-2.309124,gbif
Acinonyx jubatus,34.818248,-2.274401,gbif
Acinonyx jubatus,31.561694,-24.890791,gbif
Acinonyx jubatus,35.023487,-2.486436,gbif
Acinonyx jubatus,32.339632,-27.985846,gbif
Acinonyx jubatus,32.34671,-27.951078,gbif
Acinonyx jubatus,35.052724,-1.552921,gbif
Acinonyx jubatus,35.115784,-1.434823,gbif
Acinonyx jubatus,35.086544,-1.570358,gbif
Acinonyx jubatus,37.498292,0.612368,gbif
Acinonyx jubatus,36.147528,-3.972725,gbif
Acinonyx jubatus,36.040558,-4.088313,gbif
Acinonyx jubatus,34.986953,-2.626753,gbif
Acinonyx jubatus,34.965352,-2.464507,gbif
Acinonyx jubatus,34.849808,-2.5178,gbif
Acinonyx jubatus,35.017366,-2.545075,gbif
Acinonyx jubatus,34.932652,-2.53781,gbif
Acinonyx jubatus,24.071732,-18.573036,gbif
Acinonyx jubatus,35.010083,-1.958057,gbif
Acinonyx jubatus,1.527176,11.345326,gbif
Acinonyx jubatus,32.333029,-27.901458,gbif
Acinonyx jubatus,32.211071,-27.919281,gbif
Acinonyx jubatus,32.367244,-27.876879,gbif
Acinonyx jubatus,20.971395,-25.827503,gbif
Acinonyx jubatus,20.375008,-24.866803,gbif
Acinonyx jubatus,20.702392,-25.526466,gbif
Acinonyx jubatus,-106.663485,35.078382,gbif
Acinonyx jubatus,37.386184,-2.778449,gbif
Acinonyx jubatus,22.287945,-18.418927,gbif
Acinonyx jubatus,35.122587,-2.572502,gbif
Acinonyx jubatus,24.093476,-18.611016,gbif
Acinonyx jubatus,32.201361,1.359014,gbif
Acinonyx jubatus,32.338877,1.205425,gbif
Acinonyx jubatus,27.946103,-24.799504,gbif
Acinonyx jubatus,31.899374,-25.314559,gbif
Acinonyx jubatus,38.19,-0.0881,gbif
Acinonyx jubatus,38.0231,-0.0588,gbif
Acinonyx jubatus,40.5292,-2.5266,gbif
Acinonyx jubatus,34.801198,-2.435881,gbif
Acinonyx jubatus,34.688106,-2.564546,gbif
Acinonyx jubatus,34.861734,1.549931,gbif
Acinonyx jubatus,34.984257,-1.493834,gbif
Acinonyx jubatus,1.533778,11.313031,gbif
Acinonyx jubatus,34.894657,-2.476379,gbif
Acinonyx jubatus,2.482176,11.897852,gbif
Acinonyx jubatus,2.58104,11.995932,gbif
Acinonyx jubatus,2.422413,11.966671,gbif
Acinonyx jubatus,34.973655,-2.510075,gbif
Acinonyx jubatus,34.859045,-2.968355,gbif
Acinonyx jubatus,26.280069,-24.7609,gbif
Acinonyx jubatus,31.400723,-24.858921,gbif
Acinonyx jubatus,35.040771,-2.921721,gbif
Acinonyx jubatus,35.203191,-1.314864,gbif
Acinonyx jubatus,35.083606,-1.462909,gbif
Acinonyx jubatus,30.813707,-24.402324,gbif
Acinonyx jubatus,37.080277,0.826847,gbif
Acinonyx jubatus,2.466095,11.991757,gbif
Acinonyx jubatus,2.575767,11.915221,gbif
Acinonyx jubatus,34.945433,-3.046537,gbif
Acinonyx jubatus,34.839195,-2.450887,gbif
Acinonyx jubatus,38.491492,-2.138069,gbif
Acinonyx jubatus,38.447113,-2.101434,gbif
Acinonyx jubatus,37.495995,0.566949,gbif
Acinonyx jubatus,20.669008,-26.5141,gbif
Acinonyx jubatus,2.530006,11.836119,gbif
Acinonyx jubatus,2.4106,12.233657,gbif
Acinonyx jubatus,22.468711,-27.257914,gbif
Acinonyx jubatus,16.195797,-20.118109,gbif
Acinonyx jubatus,16.059458,-20.121231,gbif
Acinonyx jubatus,1.033705,11.053611,gbif
Acinonyx jubatus,23.696995,-21.226365,gbif
Acinonyx jubatus,24.761862,-19.800045,gbif
Acinonyx jubatus,23.638651,-21.20504,gbif
Acinonyx jubatus,2.360857,12.025505,gbif
Acinonyx jubatus,2.357854,12.295333,gbif
Acinonyx jubatus,2.233741,12.066798,gbif
Acinonyx jubatus,2.580549,12.169888,gbif
Acinonyx jubatus,2.246416,12.165713,gbif
Acinonyx jubatus,2.246115,12.000366,gbif
Acinonyx jubatus,37.350125,0.961276,gbif
Acinonyx jubatus,31.550323,-23.857452,gbif
Acinonyx jubatus,23.67322,-21.338138,gbif
Acinonyx jubatus,23.304595,-21.613349,gbif
Acinonyx jubatus,2.582996,11.885964,gbif
Acinonyx jubatus,37.293203,-2.60604,gbif
Acinonyx jubatus,31.964573,-25.34206,gbif
Acinonyx jubatus,16.267276,-19.112199,gbif
Acinonyx jubatus,15.895702,-19.252964,gbif
Acinonyx jubatus,1.152594,11.078613,gbif
Acinonyx jubatus,22.937571,-30.507709,gbif
Acinonyx jubatus,38.676862,-3.67617,gbif
Acinonyx jubatus,37.199364,-2.639218,gbif
Acinonyx jubatus,36.938953,0.009699,gbif
Acinonyx jubatus,22.97449,-19.471846,gbif
Acinonyx jubatus,23.836212,-21.505342,gbif
Acinonyx jubatus,35.031058,-1.567703,gbif
Acinonyx jubatus,38.796842,-3.754497,gbif
Acinonyx jubatus,36.196841,-4.13343,gbif
Acinonyx jubatus,34.863921,-2.284828,gbif
Acinonyx jubatus,16.062012,-23.860094,gbif
Acinonyx jubatus,16.986027,-24.84236,gbif
Acinonyx jubatus,31.95895,-25.090915,gbif
Acinonyx jubatus,32.312862,-27.837499,gbif
Acinonyx jubatus,32.305548,-27.893345,gbif
Acinonyx jubatus,32.312056,-27.875922,gbif
Acinonyx jubatus,32.371721,-27.806119,gbif
Acinonyx jubatus,32.246994,-27.91601,gbif
Acinonyx jubatus,24.690486,-19.82697,gbif
Acinonyx jubatus,28.601399,-24.200385,gbif
Acinonyx jubatus,34.997585,-2.831946,gbif
Acinonyx jubatus,25.820225,-17.859175,gbif
Acinonyx jubatus,34.747009,-2.619326,gbif
Acinonyx jubatus,31.253998,-24.745845,gbif
Acinonyx jubatus,35.108579,-2.504875,gbif
Acinonyx jubatus,34.970464,-2.796792,gbif
Acinonyx jubatus,35.140313,-1.57311,gbif
Acinonyx jubatus,34.895863,-2.550946,gbif
Acinonyx jubatus,34.617869,-2.424165,gbif
Acinonyx jubatus,35.032887,-1.451965,gbif
Acinonyx jubatus,22.702873,-14.658493,gbif
Acinonyx jubatus,22.665225,-14.762754,gbif
Acinonyx jubatus,25.873429,-14.999793,gbif
Acinonyx jubatus,31.859763,-24.871382,gbif
Acinonyx jubatus,34.641965,-2.755903,gbif
Acinonyx jubatus,36.907223,0.194724,gbif
Acinonyx jubatus,35.156095,-1.553031,gbif
Acinonyx jubatus,17.088352,-18.754915,gbif
Acinonyx jubatus,36.044769,-4.077973,gbif
Acinonyx jubatus,34.883086,-2.313821,gbif
Acinonyx jubatus,35.000866,-1.43311,gbif
Acinonyx jubatus,35.063614,-1.516138,gbif
Acinonyx jubatus,35.00261,-1.51658,gbif
Acinonyx jubatus,35.025144,-1.574035,gbif
Acinonyx jubatus,34.950685,-1.452106,gbif
Acinonyx jubatus,34.895721,-1.317665,gbif
Acinonyx jubatus,20.650912,-25.664579,gbif
Acinonyx jubatus,21.944111,-25.170516,gbif
Acinonyx jubatus,17.205577,-22.220228,gbif
Acinonyx jubatus,34.625,-0.125,gbif
Acinonyx jubatus,31.721503,-23.833352,gbif
Acinonyx jubatus,31.854746,-28.347564,gbif
Acinonyx jubatus,1.52792,11.22166,gbif
Acinonyx jubatus,1.60327,11.39525,gbif
Acinonyx jubatus,31.872857,-25.047141,gbif
Acinonyx jubatus,31.407888,-25.03803,gbif
Acinonyx jubatus,31.403162,-24.775492,gbif
Acinonyx jubatus,2.301393,12.362113,gbif
Acinonyx jubatus,27.066707,-25.39499,gbif
Acinonyx jubatus,2.267675,12.106438,gbif
Acinonyx jubatus,31.446826,-23.885409,gbif
Acinonyx jubatus,25.822121,-33.585756,gbif
Acinonyx jubatus,25.87969,-33.546337,gbif
Acinonyx jubatus,27.081553,-18.80108,gbif
Acinonyx jubatus,38.021409,0.052787,gbif
Acinonyx jubatus,17.22728,-22.399169,gbif
Acinonyx jubatus,16.768557,-20.825907,gbif
Acinonyx jubatus,22.946886,-19.479109,gbif
Acinonyx jubatus,38.690769,-3.251113,gbif
Acinonyx jubatus,37.41004,0.324942,gbif
Acinonyx jubatus,35.114378,-1.418008,gbif
Acinonyx jubatus,34.970083,-2.259251,gbif
Acinonyx jubatus,35.155295,-1.795617,gbif
Acinonyx jubatus,35.133998,-1.49367,gbif
Acinonyx jubatus,31.502949,-23.947211,gbif
Acinonyx jubatus,16.807979,-18.880874,gbif
Acinonyx jubatus,1.017727,11.078851,gbif
Acinonyx jubatus,25.762911,-33.436377,gbif
Acinonyx jubatus,35.130842,-1.926866,gbif
Acinonyx jubatus,35.022861,-2.034361,gbif
Acinonyx jubatus,35.070197,-1.486419,gbif
Acinonyx jubatus,37.339053,0.875845,gbif
Acinonyx jubatus,37.293723,0.905641,gbif
Acinonyx jubatus,38.189163,0.105743,gbif
Acinonyx jubatus,25.40231,-33.992365,gbif
Acinonyx jubatus,32.275163,-28.185537,gbif
Acinonyx jubatus,32.278547,-28.123425,gbif
Acinonyx jubatus,32.285439,-28.019816,gbif
Acinonyx jubatus,37.006795,-0.068726,gbif
Acinonyx jubatus,17.654429,-24.584669,gbif
Acinonyx jubatus,35.017204,-1.465334,gbif
Acinonyx jubatus,35.102083,-1.420328,gbif
Acinonyx jubatus,35.042266,-1.405408,gbif
Acinonyx jubatus,31.409659,-25.2719,gbif
Acinonyx jubatus,37.379573,0.966751,gbif
Acinonyx jubatus,37.364395,0.868601,gbif
Acinonyx jubatus,31.4676,-24.567228,gbif
Acinonyx jubatus,2.293503,12.356557,gbif
Acinonyx jubatus,31.400272,-23.430139,gbif
Acinonyx jubatus,27.05398,-25.30808,gbif
Acinonyx jubatus,27.06962,-25.30278,gbif
Acinonyx jubatus,27.05775,-25.30967,gbif
Acinonyx jubatus,27.05458,-25.30022,gbif
Acinonyx jubatus,27.07425,-25.30123,gbif
Acinonyx jubatus,27.0606,-25.30315,gbif
Acinonyx jubatus,27.05385,-25.30783,gbif
Acinonyx jubatus,27.05543,-25.30398,gbif
Acinonyx jubatus,27.05238,-25.29802,gbif
Acinonyx jubatus,27.04343,-25.30453,gbif
Acinonyx jubatus,27.07828,-25.30602,gbif
Acinonyx jubatus,27.07798,-25.30238,gbif
Acinonyx jubatus,27.07583,-25.30008,gbif
